Service Request (SR) Number,SR Description,Method Received,SR Status,Status Change Date,Created Date,Last Update Date,Close Date,SR Location,Street Number,Street Name,City,Zip Code,County,State Plane X Coordinate,State Plane Y Coordinate,Latitude Coordinate,Longitude Coordinate,(Latitude.Longitude),Council District,Map Page,Map Tile
22-00395865,Coyote Complaints,Phone,Closed,10/25/2022 11:45:36 AM,10/23/2022 01:16:26 PM,10/25/2022 11:45:36 AM,10/25/2022 11:45:36 AM,"12017 AMHERST DR, AUSTIN, TX 78759",12017,AMHERST,AUSTIN,78759,TRAVIS,3120012.84500006,10123746.88562500,30.41337037,-97.72081444,"(30.41337037, -97.72081444)",7,465U,MK34
19-00456839,Coyote Complaints,Phone,Closed,01/27/2020 10:22:47 AM,12/02/2019 12:01:57 PM,01/27/2020 10:22:47 AM,01/27/2020 10:22:47 AM,"4100 W SLAUGHTER LN 10, AUSTIN, TX 78749",4100,SLAUGHTER,AUSTIN,78749,TRAVIS,3079720.52146337,10041059.50117960,30.18860819,-97.85445262,"(30.18860819, -97.85445262)",8,672C,MD15
20-00069941,Coyote Complaints,Phone,Closed,02/27/2020 02:56:59 PM,02/25/2020 04:47:43 PM,02/27/2020 02:56:59 PM,02/27/2020 02:56:59 PM,"8005 CATTLE DR, AUSTIN, TX 78749",8005,CATTLE,AUSTIN,78749,TRAVIS,3082770.12228004,10047582.27531210,30.20635135,-97.84434098,"(30.20635135, -97.84434098)",8,642Q,MD17
19-00423482,Coyote Complaints,Phone,Closed,11/04/2019 09:44:33 AM,11/04/2019 09:15:30 AM,11/04/2019 09:44:34 AM,11/04/2019 09:44:33 AM,"2606 S 2ND ST, AUSTIN, TX 78704",2606,2ND,AUSTIN,78704,TRAVIS,3108388.79250593,10060255.86365220,30.23958749,-97.76233598,"(30.23958749, -97.76233598)",3,614Q,MH20
19-00457804,Coyote Complaints,Phone,Closed,12/03/2019 12:05:57 PM,12/02/2019 11:36:00 PM,12/03/2019 12:05:57 PM,12/03/2019 12:05:57 PM,"SALINA ST & E 18TH ST, AUSTIN, TX",,SALINA ST & E 18TH ST,AUSTIN,78702,TRAVIS,3120799.49882236,10074753.00167250,30.27864304,-97.72196787,"(30.27864304, -97.72196787)",1,585Q,MK23
21-00055067,Coyote Complaints,Phone,Closed,02/10/2021 10:31:36 AM,02/06/2021 07:26:59 PM,02/10/2021 10:31:36 AM,02/10/2021 10:31:36 AM,"13309 N IH 35 SVRD NB, AUSTIN, TX 78753",13309,IH 35 SVRD,AUSTIN,78753,TRAVIS,3135406.45735972,10125987.72694270,30.41852681,-97.67182307,"(30.41852681, -97.67182307)",7,466R,MM35
20-00070322,Coyote Complaints,Phone,Closed,02/27/2020 03:24:02 PM,02/26/2020 06:31:31 AM,02/27/2020 03:24:02 PM,02/27/2020 03:24:02 PM,"E 14TH ST & HARVEY ST, AUSTIN, TX",,E 14TH ST & HARVEY ST,AUSTIN,78702,TRAVIS,3126240.74712091,10074725.00051680,30.27821373,-97.70473684,"(30.27821373, -97.70473684)",1,586N,ML23
20-00027063,Coyote Complaints,Phone,Closed,01/23/2020 10:46:06 AM,01/22/2020 01:46:07 PM,01/23/2020 10:46:06 AM,01/23/2020 10:46:06 AM,"3816 S LAMAR BLVD SB, AUSTIN, TX 78704",3816,LAMAR BLVD SB,AUSTIN,78704,TRAVIS,3099795.56797621,10059834.229752,30.23897162,-97.78957181,"(30.23897162, -97.78957181)",5,614N,MG20
20-00027704,Coyote Complaints,Phone,Closed,01/23/2020 11:04:05 AM,01/23/2020 12:02:10 AM,01/23/2020 11:04:05 AM,01/23/2020 11:04:05 AM,"2113 ZACH SCOTT ST, AUSTIN, TX 78723",2113,ZACH SCOTT,AUSTIN,78723,TRAVIS,3126596.01998931,10080501.1825355,30.29406836,-97.70317904,"(30.29406836, -97.70317904)",9,586A,ML24
21-00115088,Coyote Complaints,Phone,Closed,03/16/2021 09:34:07 AM,03/12/2021 03:41:52 PM,03/16/2021 09:34:07 AM,03/16/2021 09:34:07 AM,"2239 CROMWELL CIR, AUSTIN, TX 78741",2239,CROMWELL,AUSTIN,78741,TRAVIS,3122358.49917937,10056513.00132480,30.22840371,-97.71838852,"(30.22840371, -97.71838852)",3,615Z,MK19
20-00029133,Coyote Complaints,Phone,Closed,01/24/2020 08:46:29 AM,01/24/2020 06:31:28 AM,01/24/2020 08:46:29 AM,01/24/2020 08:46:29 AM,"3816 S LAMAR BLVD NB, AUSTIN, TX 78704",3816,LAMAR,AUSTIN,78704,TRAVIS,3099803.99065982,10059653.41167,30.23847404,-97.78955824,"(30.23847404, -97.78955824)",5,614S,MG19
21-00118216,Coyote Complaints,Phone,Closed,03/16/2021 09:43:09 AM,03/14/2021 08:56:51 PM,03/16/2021 09:43:09 AM,03/16/2021 09:43:09 AM,"4303 HYRIDGE DR, AUSTIN, TX 78759",4303,HYRIDGE,AUSTIN,78759,TRAVIS,3109714.09616890,10112123.13922040,30.38207904,-97.75433263,"(30.38207904, -97.75433263)",10,494R,MH32
20-00001447,Coyote Complaints,Phone,Closed,01/06/2020 12:31:29 PM,01/02/2020 10:01:01 AM,01/06/2020 12:31:29 PM,01/06/2020 12:31:29 PM,"3901 SHOAL CREEK BLVD, AUSTIN, TX 78756",3901,SHOAL CREEK,AUSTIN,78756,TRAVIS,3112469.46705456,10085328.76062140,30.30824915,-97.74757164,"(30.30824915, -97.74757164)",10,555S,MJ25
20-00003620,Coyote Complaints,Phone,Closed,01/06/2020 10:16:33 AM,01/03/2020 05:24:49 PM,01/06/2020 10:16:33 AM,01/06/2020 10:16:33 AM,"3304 FRENCH PL, AUSTIN, TX 78722",3304,FRENCH,AUSTIN,78722,TRAVIS,3122007.45126895,10078606.99923530,30.28915902,-97.71785508,"(30.28915902, -97.71785508)",9,585H,MK24
19-00424223,Coyote Complaints,Phone,Closed,11/14/2019 11:50:22 AM,11/04/2019 03:24:00 PM,11/14/2019 11:50:22 AM,11/14/2019 11:50:22 AM,"9008 WESTMINSTER GLEN AVE, AUSTIN, TX 78730",9008,WESTMINSTER GLEN,AUSTIN,78730,TRAVIS,3084349.00156068,10104638.99800610,30.36309738,-97.83528838,"(30.36309738, -97.83528838)",10,522D,MD30
19-00441873,Coyote Complaints,Phone,Closed,11/19/2019 12:00:02 PM,11/18/2019 05:25:27 PM,11/19/2019 12:00:02 PM,11/19/2019 12:00:02 PM,"11316 JOLLYVILLE RD 18, AUSTIN, TX 78759",11316,JOLLYVILLE,AUSTIN,78759,TRAVIS,3111437.99979916,10122705.99891180,30.4110599,-97.74808698,"(30.4110599, -97.74808698)",10,465S,MJ34
20-00524039,Coyote Complaints,Phone,Closed,12/30/2020 12:05:55 PM,12/27/2020 03:40:48 PM,12/30/2020 12:05:55 PM,12/30/2020 12:05:55 PM,"1200 BARTON HILLS DR, AUSTIN, TX 78704",1200,BARTON HILLS,AUSTIN,78704,TRAVIS,3104429.46343370,10068185.96229900,30.26163719,-97.77429314,"(30.26163719, -97.77429314)",5,614B,MG21
19-00456464,Coyote Complaints,Phone,Closed,12/03/2019 02:15:03 PM,12/02/2019 08:46:25 AM,12/03/2019 02:15:03 PM,12/03/2019 02:15:03 PM,"2101 FARO DR, AUSTIN, TX 78741",2101,FARO,AUSTIN,78741,TRAVIS,3123934.12991598,10056404.01995940,30.22800222,-97.71340901,"(30.22800222, -97.71340901)",3,615Z,MK19
20-00045659,Coyote Complaints,Phone,Closed,02/11/2020 02:00:53 PM,02/05/2020 06:16:21 PM,02/11/2020 02:00:53 PM,02/11/2020 02:00:53 PM,"8506 VERONA TRL, AUSTIN, TX 78749",8506,VERONA,AUSTIN,78749,TRAVIS,3081858.00293859,10045804.00256420,30.20151915,-97.8473535,"(30.20151915, -97.8473535)",8,642U,MD16
20-00210621,Coyote Complaints,Phone,Closed,06/01/2020 10:25:40 AM,05/28/2020 12:04:41 PM,06/01/2020 10:25:40 AM,06/01/2020 10:25:40 AM,"5416 APACHE CREEK CV, AUSTIN, TX 78735",5416,APACHE CREEK,AUSTIN,78735,TRAVIS,3083578.10818473,10062747.94760920,30.24799042,-97.84070817,"(30.24799042, -97.84070817)",8,612M,MD20
20-00050491,Coyote Complaints,Phone,Closed,02/11/2020 11:27:33 AM,02/10/2020 08:12:45 AM,02/11/2020 11:27:33 AM,02/11/2020 11:27:33 AM,"1504 SOUTHPORT DR A-C, AUSTIN, TX 78704",1504,SOUTHPORT,AUSTIN,78704,TRAVIS,3103161.75008441,10057549.99994750,30.23248052,-97.77908098,"(30.23248052, -97.77908098)",5,614X,MG19
20-00521979,Coyote Complaints,Phone,Closed,01/07/2021 12:09:46 PM,12/25/2020 10:15:01 AM,01/07/2021 12:09:46 PM,01/07/2021 12:09:46 PM,"7601 RIALTO BLVD, AUSTIN, TX 78735",7601,RIALTO,AUSTIN,78735,TRAVIS,3073398.58095041,10064369.16071750,30.25307006,-97.87282534,"(30.25307006, -97.87282534)",8,612E,MC21
21-00003381,Coyote Complaints,Phone,Closed,01/07/2021 12:43:02 PM,01/04/2021 07:49:24 AM,01/07/2021 12:43:02 PM,01/07/2021 12:43:02 PM,"6400 LAIRD DR, AUSTIN, TX 78757",6400,LAIRD,AUSTIN,78757,TRAVIS,3115239.49896601,10096428.36468580,30.33858298,-97.73797527,"(30.33858298, -97.73797527)",7,525T,MJ28
20-00238088,Coyote Complaints,Phone,Closed,06/23/2020 01:51:24 PM,06/16/2020 09:43:19 PM,06/23/2020 01:51:24 PM,06/23/2020 01:51:24 PM,"4550 MUELLER BLVD, AUSTIN, TX 78723",4550,MUELLER,AUSTIN,78723,TRAVIS,3125275.22880639,10081649.77048040,30.29731142,-97.70727692,"(30.29731142, -97.70727692)",9,556W,ML25
21-00194461,Coyote Complaints,Phone,Closed,04/21/2021 12:07:17 PM,04/20/2021 08:10:34 PM,04/21/2021 12:07:17 PM,04/21/2021 12:07:17 PM,"3001 S CONGRESS AVE, AUSTIN, TX 78704",3001,CONGRESS,AUSTIN,78704,TRAVIS,3110094.99881803,10057569.20200620,30.23209374,-97.75713135,"(30.23209374, -97.75713135)",3,614Z,MH19
20-00496112,Coyote Complaints,Mobile Device,Closed,12/11/2020 03:41:57 PM,12/06/2020 08:47:55 AM,12/11/2020 03:41:58 PM,12/11/2020 03:41:57 PM,"1404 CHESTNUT AVE, AUSTIN, TX 78702",1404,CHESTNUT,AUSTIN,78702,TRAVIS,3122548.70894346,10073978.09346120,30.27639993,-97.71648563,"(30.27639993, -97.71648563)",1,585R,MK23
20-00030135,Coyote Complaints,Phone,Closed,01/24/2020 03:25:52 PM,01/24/2020 03:09:13 PM,01/24/2020 03:25:53 PM,01/24/2020 03:25:52 PM,"3816 S LAMAR BLVD SB, AUSTIN, TX 78704",3816,LAMAR BLVD SB,AUSTIN,78704,TRAVIS,3099795.56797621,10059834.229752,30.23897162,-97.78957181,"(30.23897162, -97.78957181)",5,614N,MG20
20-00372548,Coyote Complaints,Phone,Closed,09/11/2020 09:28:39 AM,09/10/2020 10:26:28 AM,09/11/2020 09:28:39 AM,09/11/2020 09:28:39 AM,"3301 OAKMONT BLVD, AUSTIN, TX 78703",3301,OAKMONT,AUSTIN,78703,TRAVIS,3110067.49814677,10084641.00022230,30.30651187,-97.7552319,"(30.30651187, -97.7552319)",10,554V,MH25
20-00084832,Coyote Complaints,Phone,Closed,03/10/2020 09:59:28 AM,03/07/2020 10:29:42 AM,03/10/2020 09:59:28 AM,03/10/2020 09:59:28 AM,"SPRINKLE CUTOFF RD & TRAIL WEARY DR, AUSTIN, TX",,SPRINKLE CUTOFF RD & TRAIL WEARY DR,AUSTIN,78754,TRAVIS,3140885.28856177,10108137.64951640,30.36909875,-97.65580889,"(30.36909875, -97.65580889)",1,497X,MN31
20-00033212,Coyote Complaints,Phone,Closed,01/27/2020 01:52:47 PM,01/27/2020 01:37:28 PM,01/27/2020 01:52:47 PM,01/27/2020 01:52:47 PM,"6835 AUSTIN CENTER BLVD, AUSTIN, TX 78731",6835,AUSTIN CENTER,AUSTIN,78731,TRAVIS,3111199.89801915,10100956.40982160,30.35128843,-97.75044402,"(30.35128843, -97.75044402)",10,524M,MH29
21-00195723,Coyote Complaints,Phone,Closed,04/21/2021 03:41:53 PM,04/21/2021 02:35:04 PM,04/21/2021 03:41:53 PM,04/21/2021 03:41:53 PM,"10502 DOERING LN, AUSTIN, TX 78750",10502,DOERING,AUSTIN,78750,WILLIAMSON,3092737.83380767,10136460.28239640,30.45005021,-97.80640428,"(30.45005021, -97.80640428)",6,433Q,MF38
20-00124587,Coyote Complaints,Phone,Closed,04/01/2020 11:16:27 AM,03/31/2020 02:58:44 PM,04/01/2020 11:16:27 AM,04/01/2020 11:16:27 AM,"6514 FAIR VALLEY TRL, AUSTIN, TX 78749",6514,FAIR VALLEY,AUSTIN,78749,TRAVIS,3081090.78101204,10055098.33140280,30.22711539,-97.84912455,"(30.22711539, -97.84912455)",8,612Y,MD19
20-00190750,Coyote Complaints,Phone,Closed,05/15/2020 12:02:22 PM,05/15/2020 06:51:11 AM,05/15/2020 12:02:22 PM,05/15/2020 12:02:22 PM,"3427 PARKER LN, AUSTIN, TX 78741",3427,PARKER,AUSTIN,78741,TRAVIS,3115008.74879727,10053260.00142280,30.21993464,-97.7418941,"(30.21993464, -97.7418941)",3,645E,MJ18
19-00434354,Coyote Complaints,Phone,Closed,11/13/2019 11:01:10 AM,11/12/2019 01:26:11 PM,11/13/2019 11:01:09 AM,11/13/2019 11:01:10 AM,"3110 N FM 620 RD, AUSTIN, TX 78734",3110,620,AUSTIN,78734,TRAVIS,3052575.00083445,10115087.99751860,30.39374353,-97.93529931,"(30.39374353, -97.93529931)",,490G,WZ33
20-00191630,Coyote Complaints,Phone,Closed,06/07/2020 07:43:32 PM,05/15/2020 02:54:14 PM,06/07/2020 07:43:32 PM,06/07/2020 07:43:32 PM,"4407 MAGIN MEADOW DR, AUSTIN, TX 78744",4407,MAGIN MEADOW,AUSTIN,78744,TRAVIS,3109728.21715946,10038318.38824860,30.17919966,-97.75970261,"(30.17919966, -97.75970261)",2,674M,MH14
20-00236091,Coyote Complaints,Phone,Closed,07/30/2020 08:27:26 PM,06/15/2020 05:26:12 PM,07/30/2020 08:27:26 PM,07/30/2020 08:27:26 PM,"5813 HIGHLAND HILLS DR, AUSTIN, TX 78731",5813,HIGHLAND HILLS,AUSTIN,78731,TRAVIS,3108419.99711527,10097628.99725710,30.34231898,-97.75949911,"(30.34231898, -97.75949911)",10,524V,MH28
20-00258910,Coyote Complaints,Phone,Closed,07/30/2020 08:42:28 PM,06/29/2020 02:42:54 PM,07/30/2020 08:42:28 PM,07/30/2020 08:42:28 PM,"5310 MC CARTY LN, AUSTIN, TX 78749",5310,MC CARTY,AUSTIN,78749,TRAVIS,3079832.62235283,10055367.70162850,30.22793305,-97.85308828,"(30.22793305, -97.85308828)",8,612Y,MD19
20-00464744,Coyote Complaints,Phone,Closed,11/12/2020 01:10:16 PM,11/12/2020 10:54:09 AM,11/12/2020 01:10:16 PM,11/12/2020 01:10:16 PM,"14745 MERRILLTOWN DR, AUSTIN, TX 78728",14745,MERRILLTOWN,AUSTIN,78728,TRAVIS,3128397.95891880,10136981.94873570,30.44920721,-97.69322428,"(30.44920721, -97.69322428)",,436T,ML37
19-00479136,Coyote Complaints,Phone,Closed,01/30/2020 12:03:00 PM,12/18/2019 09:17:28 PM,01/30/2020 12:03:00 PM,01/30/2020 12:03:00 PM,"BROOKVIEW RD & E 40TH ST, AUSTIN, TX",,BROOKVIEW RD & E 40TH ST,AUSTIN,78722,TRAVIS,3124346.49869494,10079896.00129600,30.29255085,-97.71034992,"(30.29255085, -97.71034992)",9,585D,MK24
22-00197867,Coyote Complaints,Phone,Closed,06/08/2022 09:52:51 AM,06/06/2022 08:04:24 PM,06/08/2022 09:52:50 AM,06/08/2022 09:52:51 AM,"2223 WATERLOO CITY LN, AUSTIN, TX 78741",2223,WATERLOO CITY,AUSTIN,78741,TRAVIS,3120595.06353857,10061394.69031420,30.24193648,-97.72360806,"(30.24193648, -97.72360806)",3,615Q,MK20
22-00197870,Coyote Complaints,Phone,Closed,06/08/2022 10:02:01 AM,06/06/2022 08:06:37 PM,06/08/2022 10:02:00 AM,06/08/2022 10:02:01 AM,"1201 LADY BIRD LN, AUSTIN, TX 78741",1201,LADY BIRD,AUSTIN,78741,TRAVIS,3120840.00867913,10061637.39047280,30.24258782,-97.72281455,"(30.24258782, -97.72281455)",3,615Q,MK20
22-00199593,Coyote Complaints,Phone,Closed,06/08/2022 10:13:50 AM,06/08/2022 07:03:50 AM,06/08/2022 10:13:50 AM,06/08/2022 10:13:50 AM,"DEL CURTO RD & S LAMAR BLVD, AUSTIN, TX",,DEL CURTO RD & S LAMAR BLVD,Austin,78704,TRAVIS,3104254.17230884,10062953.21139750,30.24726417,-97.77522933,"(30.24726417, -97.77522933)",5,614K,MG20
22-00199643,Coyote Complaints,Phone,Closed,06/08/2022 10:16:58 AM,06/08/2022 07:56:26 AM,06/08/2022 10:16:58 AM,06/08/2022 10:16:58 AM,"W JOHANNA ST & S 5TH ST, AUSTIN, TX",,W JOHANNA ST & S 5TH ST,AUSTIN,78704,TRAVIS,3108221.74998036,10063083.00287820,30.24736949,-97.76265795,"(30.24736949, -97.76265795)",3,614L,MH20
19-00459231,Coyote Complaints,Phone,Closed,12/10/2019 12:53:52 PM,12/03/2019 09:06:58 PM,12/10/2019 12:53:52 PM,12/10/2019 12:53:52 PM,"2816 E 12TH ST, AUSTIN, TX 78702",2816,12TH,AUSTIN,78702,TRAVIS,3124836.33065829,10073713.13472130,30.27552345,-97.7092604,"(30.27552345, -97.7092604)",1,585R,MK23
20-00048137,Coyote Complaints,Phone,Closed,03/17/2020 10:08:43 AM,02/07/2020 03:54:15 PM,03/17/2020 10:08:43 AM,03/17/2020 10:08:43 AM,"WEST GATE BLVD & COHOBA DR, AUSTIN, TX 78748",,WEST GATE BLVD & COHOBA DR,AUSTIN,78748,TRAVIS,3085511.75163062,10040618.00283310,30.18703844,-97.83615902,"(30.18703844, -97.83615902)",5,672D,MD15
20-00048663,Coyote Complaints,Phone,Closed,02/11/2020 10:21:38 AM,02/08/2020 12:55:26 AM,02/11/2020 10:21:38 AM,02/11/2020 10:21:38 AM,"1619 CONSTANTINO CIR, AUSTIN, TX 78745",1619,CONSTANTINO,AUSTIN,78745,TRAVIS,3095286.39175635,10044745.53124250,30.19777745,-97.8049333,"(30.19777745, -97.8049333)",5,643U,MF16
19-00459046,Coyote Complaints,Phone,Closed,12/04/2019 03:37:16 PM,12/03/2019 05:39:57 PM,12/04/2019 03:37:16 PM,12/04/2019 03:37:16 PM,"2800 LYONS RD, AUSTIN, TX 78702",2800,LYONS,AUSTIN,78702,TRAVIS,3125697.22434253,10069443.83881560,30.26373205,-97.70685323,"(30.26373205, -97.70685323)",3,586W,ML22
20-00029192,Coyote Complaints,Phone,Closed,01/24/2020 08:49:30 AM,01/24/2020 07:58:07 AM,01/24/2020 08:49:30 AM,01/24/2020 08:49:30 AM,"2708 E 13TH ST, AUSTIN, TX 78702",2708,13TH,AUSTIN,78702,TRAVIS,3123897.02831655,10073887.0665718,30.27606244,-97.71222222,"(30.27606244, -97.71222222)",1,585R,MK23
19-00434640,Coyote Complaints,Phone,Closed,11/13/2019 11:28:04 AM,11/12/2019 03:59:19 PM,11/13/2019 11:28:04 AM,11/13/2019 11:28:04 AM,"1180 SOL WILSON AVE, AUSTIN, TX 78702",1180,SOL WILSON,AUSTIN,78702,TRAVIS,3125510.91603457,10073031.91457290,30.27360713,-97.70717491,"(30.27360713, -97.70717491)",1,586S,ML22
19-00434724,Coyote Complaints,Phone,Closed,11/13/2019 11:31:07 AM,11/12/2019 04:46:44 PM,11/13/2019 11:31:07 AM,11/13/2019 11:31:07 AM,"3904 SYCAMORE DR, AUSTIN, TX 78722",3904,SYCAMORE,AUSTIN,78722,TRAVIS,3123785.74809993,10080017.00206290,30.2929198,-97.71211711,"(30.2929198, -97.71211711)",9,585D,MK24
19-00434928,Coyote Complaints,Phone,Closed,11/13/2019 01:01:18 PM,11/12/2019 09:20:12 PM,11/13/2019 01:01:17 PM,11/13/2019 01:01:18 PM,"E 13TH ST & ALEXANDER AVE, AUSTIN, TX",,E 13TH ST & ALEXANDER AVE,AUSTIN,78702,TRAVIS,3125090.74756080,10074085.00109020,30.27652914,-97.70842686,"(30.27652914, -97.70842686)",1,586N,ML23
19-00435284,Coyote Complaints,Phone,Closed,11/13/2019 10:04:06 AM,11/13/2019 09:43:32 AM,11/13/2019 10:04:06 AM,11/13/2019 10:04:06 AM,"E MARTIN LUTHER KING JR BLVD & E M FRANKLIN AVE, AUSTIN, TX",,E MARTIN LUTHER KING JR BLVD & E M FRANKLIN,AUSTIN,78721,TRAVIS,3128919.49705797,10076795.00161420,30.28372949,-97.69609751,"(30.28372949, -97.69609751)",1,586K,ML23
19-00435319,Coyote Complaints,Phone,Closed,11/13/2019 10:34:03 AM,11/13/2019 10:04:24 AM,11/13/2019 10:34:03 AM,11/13/2019 10:34:03 AM,"8905 GLENLAKE DR, AUSTIN, TX 78730",8905,GLENLAKE,AUSTIN,78730,TRAVIS,3083957.00221385,10101784.99989330,30.35527619,-97.83673409,"(30.35527619, -97.83673409)",10,522M,MD29
19-00478381,Coyote Complaints,Phone,Closed,12/18/2019 01:09:36 PM,12/18/2019 12:06:26 PM,12/18/2019 01:09:36 PM,12/18/2019 01:09:36 PM,"1303 E 29TH ST, AUSTIN, TX 78722",1303,29TH,AUSTIN,78722,TRAVIS,3120775.49745080,10077479.00087390,30.28613791,-97.72184116,"(30.28613791, -97.72184116)",9,585G,MK24
20-00308067,Coyote Complaints,Phone,Closed,07/31/2020 12:37:44 PM,07/28/2020 09:35:48 PM,07/31/2020 12:37:44 PM,07/31/2020 12:37:44 PM,"6109 RICHARDSON LN, AUSTIN, TX 78741",6109,RICHARDSON,AUSTIN,78741,TRAVIS,3128815.65770414,10059742.75148350,30.23686274,-97.69770627,"(30.23686274, -97.69770627)",3,616S,ML19
19-00475777,Coyote Complaints,Phone,Closed,12/18/2019 05:24:50 PM,12/16/2019 01:35:44 PM,12/18/2019 05:24:50 PM,12/18/2019 05:24:50 PM,"1304 E 30TH ST, AUSTIN, TX 78722",1304,30TH,AUSTIN,78722,TRAVIS,3120992.94940472,10077759.67839880,30.28689541,-97.72113153,"(30.28689541, -97.72113153)",9,585G,MK24
19-00477627,Coyote Complaints,Phone,Closed,12/18/2019 10:36:36 AM,12/17/2019 06:22:35 PM,12/18/2019 10:36:36 AM,12/18/2019 10:36:36 AM,"6112 CLUB TER, AUSTIN, TX 78741",6112,CLUB,AUSTIN,78741,TRAVIS,3128261.49874525,10058936.00254610,30.23468123,-97.69952108,"(30.23468123, -97.69952108)",3,616S,ML19
19-00478051,Coyote Complaints,Phone,Closed,12/18/2019 10:48:31 AM,12/18/2019 09:28:02 AM,12/18/2019 10:48:31 AM,12/18/2019 10:48:31 AM,"1004 E 15TH ST B, AUSTIN, TX 78702",1004,15TH,AUSTIN,78702,TRAVIS,3118577.99861057,10073546.00197750,30.27546838,-97.72909318,"(30.27546838, -97.72909318)",1,585Q,MK23
19-00478097,Coyote Complaints,Phone,Closed,12/18/2019 11:00:32 AM,12/18/2019 09:46:22 AM,12/18/2019 11:00:32 AM,12/18/2019 11:00:32 AM,"10809 TRAIL WEARY DR, AUSTIN, TX 78754",10809,TRAIL WEARY,AUSTIN,78754,TRAVIS,3141066.11736867,10108145.27893430,30.36910776,-97.65523507,"(30.36910776, -97.65523507)",1,497X,MN31
19-00478163,Coyote Complaints,Phone,Closed,12/18/2019 01:57:43 PM,12/18/2019 10:20:25 AM,12/18/2019 01:57:43 PM,12/18/2019 01:57:43 PM,"12609 LYNDON DR, AUSTIN, TX 78732",12609,LYNDON,AUSTIN,78732,TRAVIS,3069263.00158390,10114653.99913420,30.39155051,-97.88241162,"(30.39155051, -97.88241162)",6,491H,MB33
19-00478452,Coyote Complaints,Phone,Closed,12/18/2019 01:39:37 PM,12/18/2019 12:52:33 PM,12/18/2019 01:39:37 PM,12/18/2019 01:39:37 PM,"3300 FRENCH PL, AUSTIN, TX 78722",3300,FRENCH,AUSTIN,78722,TRAVIS,3121967.16306616,10078529.92695100,30.28894976,-97.71798843,"(30.28894976, -97.71798843)",9,585H,MK24
19-00478486,Coyote Complaints,Phone,Closed,12/18/2019 01:51:38 PM,12/18/2019 01:15:35 PM,12/18/2019 01:51:38 PM,12/18/2019 01:51:38 PM,"17 KERN RAMBLE, AUSTIN, TX 78722",17,KERN RAMBLE,AUSTIN,78722,TRAVIS,3122558.40347292,10078783.94310800,30.28960978,-97.71609676,"(30.28960978, -97.71609676)",9,585H,MK24
20-00070823,Coyote Complaints,Phone,Closed,02/27/2020 03:33:04 PM,02/26/2020 12:09:42 PM,02/27/2020 03:33:04 PM,02/27/2020 03:33:04 PM,"7409 SHOAL CREEK BLVD, AUSTIN, TX 78757",7409,SHOAL CREEK,Austin,78757,TRAVIS,3114346.46516995,10101782.92289770,30.35335914,-97.7404098,"(30.35335914, -97.7404098)",7,525J,MJ29
19-00383622,Coyote Complaints,Phone,Closed,10/31/2019 02:53:36 PM,10/06/2019 11:33:39 AM,10/31/2019 02:53:36 PM,10/31/2019 02:53:36 PM,"1908 VALLEY HILL CIR, AUSTIN, TX 78741",1908,VALLEY HILL,AUSTIN,78741,TRAVIS,3117934.24865540,10058943.00186520,30.23536854,-97.73221357,"(30.23536854, -97.73221357)",3,615T,MJ19
19-00393216,Coyote Complaints,Phone,Closed,10/31/2019 02:56:34 PM,10/12/2019 06:38:44 PM,10/31/2019 02:56:34 PM,10/31/2019 02:56:34 PM,"3427 PARKER LN, AUSTIN, TX 78741",3427,PARKER,AUSTIN,78741,TRAVIS,3115008.74879727,10053260.00142280,30.21993464,-97.7418941,"(30.21993464, -97.7418941)",3,645E,MJ18
19-00399206,Coyote Complaints,Phone,Closed,10/31/2019 10:23:29 AM,10/16/2019 11:25:21 PM,10/31/2019 10:23:29 AM,10/31/2019 10:23:29 AM,"10904 PICKFAIR DR, AUSTIN, TX 78750",10904,PICKFAIR,AUSTIN,78750,TRAVIS,3091365.00217222,10132327.99811320,30.43877662,-97.81105737,"(30.43877662, -97.81105737)",6,433Y,MF37
19-00418136,Coyote Complaints,Phone,Closed,10/31/2019 09:26:19 AM,10/30/2019 03:31:53 PM,10/31/2019 09:26:19 AM,10/31/2019 09:26:19 AM,"3427 PARKER LN, AUSTIN, TX 78741",3427,PARKER,AUSTIN,78741,TRAVIS,3115008.74879727,10053260.00142280,30.21993464,-97.7418941,"(30.21993464, -97.7418941)",3,645E,MJ18
19-00441897,Coyote Complaints,Phone,Closed,11/20/2019 10:04:03 AM,11/18/2019 05:42:20 PM,11/20/2019 10:04:03 AM,11/20/2019 10:04:03 AM,"2707 MAGELLAN DR, AUSTIN, TX 78733",2707,MAGELLAN,AUSTIN,78733,TRAVIS,3076455.15016340,10099549.50921140,30.34959169,-97.86067057,"(30.34959169, -97.86067057)",,522P,MC29
19-00418977,Coyote Complaints,Phone,Closed,10/31/2019 12:50:28 PM,10/31/2019 11:49:04 AM,10/31/2019 12:50:28 PM,10/31/2019 12:50:28 PM,"CROWNSPOINT DR & CURLEW DR, AUSTIN, TX",,CROWNSPOINT DR & CURLEW DR,AUSTIN,78748,TRAVIS,3086715.00156121,10039121.00053350,30.18284905,-97.8324582,"(30.18284905, -97.8324582)",5,673E,ME15
