Service Request (SR) Number,SR Description,Method Received,SR Status,Status Change Date,Created Date,Last Update Date,Close Date,SR Location,Street Number,Street Name,City,Zip Code,County,State Plane X Coordinate,State Plane Y Coordinate,Latitude Coordinate,Longitude Coordinate,(Latitude.Longitude),Council District,Map Page,Map Tile
23-00125845,Coyote Complaints,Phone,Closed,03/03/2023 09:26:50 AM,03/01/2023 12:49:48 AM,03/03/2023 09:26:50 AM,03/03/2023 09:26:50 AM,"4305 YUCATAN LN, AUSTIN, TX 78727",4305,YUCATAN,AUSTIN,78727,TRAVIS,3118166.17879587,10125274.14586820,30.41768769,-97.72655773,"(30.41768769, -97.72655773)",7,465Q,MK35
23-00125847,Coyote Complaints,Phone,Closed,03/01/2023 11:53:39 AM,03/01/2023 01:08:18 AM,03/01/2023 11:53:39 AM,03/01/2023 11:53:39 AM,"HARDY DR & MORROW ST, AUSTIN, TX",,HARDY DR & MORROW ST,AUSTIN,78757,TRAVIS,3117813.03840518,10100768.29766660,30.35034747,-97.72949745,"(30.35034747, -97.72949745)",7,525K,MJ29
23-00130908,Coyote Complaints,Phone,Closed,03/03/2023 10:39:10 AM,03/03/2023 09:43:16 AM,03/03/2023 10:39:10 AM,03/03/2023 10:39:10 AM,"12601 RAMPART ST, AUSTIN, TX 78727",12601,RAMPART,AUSTIN,78727,TRAVIS,3129174.99922391,10125147.99970650,30.41662692,-97.69165073,"(30.41662692, -97.69165073)",7,466P,ML35
23-00131183,Coyote Complaints,Phone,Closed,03/08/2023 02:09:47 PM,03/03/2023 11:07:48 AM,03/08/2023 02:09:48 PM,03/08/2023 02:09:47 PM,"CINNAMON PATH & WATERLOO TRL, AUSTIN, TX",,CINNAMON PATH & WATERLOO TRL,AUSTIN,78704,TRAVIS,3104254.75089270,10060719.00159060,30.24112261,-97.77539019,"(30.24112261, -97.77539019)",5,614P,MG20
23-00133090,Coyote Complaints,Phone,Closed,03/09/2023 10:31:03 AM,03/04/2023 10:08:52 AM,03/09/2023 10:31:03 AM,03/09/2023 10:31:03 AM,"7216 MARYWOOD CIR, AUSTIN, TX 78723",7216,MARYWOOD,AUSTIN,78723,TRAVIS,3134945.74931361,10090292.99745990,30.32043873,-97.67598926,"(30.32043873, -97.67598926)",1,556M,MM26
23-00133796,Coyote Complaints,Phone,Closed,03/07/2023 02:19:45 PM,03/04/2023 04:56:16 PM,03/07/2023 02:19:45 PM,03/07/2023 02:19:45 PM,"405 WOLVERTON DR, AUSTIN, TX 78745",405,WOLVERTON,AUSTIN,78745,TRAVIS,3107739.25017892,10049781.00238530,30.21083494,-97.76515809,"(30.21083494, -97.76515809)",3,644L,MH17
23-00133980,Coyote Complaints,Phone,Closed,03/08/2023 01:03:08 PM,03/04/2023 06:59:31 PM,03/08/2023 01:03:08 PM,03/08/2023 01:03:08 PM,"4600 BROADHILL DR, AUSTIN, TX 78723",4600,BROADHILL,AUSTIN,78723,TRAVIS,3135064.49863642,10078026.00051370,30.28671126,-97.67654147,"(30.28671126, -97.67654147)",1,586H,MM24
23-00135093,Coyote Complaints,Phone,Closed,03/07/2023 10:51:15 AM,03/05/2023 05:34:23 PM,03/07/2023 10:51:15 AM,03/07/2023 10:51:15 AM,"4417 DUDLEY DR, AUSTIN, TX 78735",4417,DUDLEY,AUSTIN,78735,TRAVIS,3094465.50213689,10058646.00098970,30.23603931,-97.80653169,"(30.23603931, -97.80653169)",5,613U,MF19
23-00137533,Coyote Complaints,Phone,Closed,03/07/2023 02:34:52 PM,03/06/2023 06:57:36 PM,03/07/2023 02:34:52 PM,03/07/2023 02:34:52 PM,"614 FAIRFIELD LN, AUSTIN, TX 78751",614,FAIRFIELD,AUSTIN,78751,TRAVIS,3121255.49966323,10086326.00248130,30.31042589,-97.7196623,"(30.31042589, -97.7196623)",9,555Q,MK26
23-00141593,Coyote Complaints,Phone,New,03/08/2023 04:01:25 PM,03/08/2023 04:01:25 PM,03/10/2023 12:00:05 AM,,"1900 ALGUNO RD, AUSTIN, TX 78757",1900,ALGUNO,AUSTIN,78757,TRAVIS,3115853.75145276,10095177.99757190,30.33510649,-97.73612117,"(30.33510649, -97.73612117)",7,525X,MJ28
23-00141773,Coyote Complaints,Phone,Closed,03/13/2023 11:55:39 AM,03/08/2023 05:04:39 PM,03/13/2023 11:55:39 AM,03/13/2023 11:55:39 AM,"1500 CANOE BROOK DR, AUSTIN, TX 78746",1500,CANOE BROOK,AUSTIN,78746,TRAVIS,3084901.75186686,10075505.00163990,30.28297663,-97.83561017,"(30.28297663, -97.83561017)",8,582M,MD23
23-00144149,Coyote Complaints,Phone,New,03/10/2023 01:46:34 AM,03/10/2023 01:46:34 AM,03/10/2023 01:46:34 AM,,"9218 BALCONES CLUB DR 7, AUSTIN, TX 78750",9218,BALCONES CLUB,AUSTIN,78750,WILLIAMSON,3098748.00074064,10134081.99879320,30.44313579,-97.78750786,"(30.44313579, -97.78750786)",6,434W,MG37
23-00147621,Coyote Complaints,Phone,Closed,04/04/2023 11:57:35 AM,03/12/2023 01:06:11 PM,04/04/2023 11:57:35 AM,04/04/2023 11:57:35 AM,"3009 HANCOCK DR, AUSTIN, TX 78731",3009,HANCOCK,AUSTIN,78731,TRAVIS,3110298.76722264,10093146.70931140,30.32987813,-97.75387427,"(30.32987813, -97.75387427)",7,554D,MH27
23-00148802,Coyote Complaints,Phone,Closed,03/16/2023 03:39:14 PM,03/13/2023 11:14:35 AM,03/16/2023 03:39:14 PM,03/16/2023 03:39:14 PM,"11900 STONEHOLLOW DR, AUSTIN, TX 78758",11900,STONEHOLLOW,AUSTIN,78758,TRAVIS,3125173.21816840,10119665.27811900,30.40181643,-97.70475399,"(30.40181643, -97.70475399)",7,496A,ML33
23-00152073,Coyote Complaints,Phone,Closed,03/17/2023 11:39:24 AM,03/15/2023 08:11:30 AM,03/17/2023 11:39:23 AM,03/17/2023 11:39:24 AM,"CATBIRD LN & BESTRIDE BND, AUSTIN, TX",,CATBIRD LN & BESTRIDE BND,AUSTIN,78744,TRAVIS,3122918.40920518,10029177.70488590,30.1532279,-97.71865035,"(30.1532279, -97.71865035)",2,705D,MK12
23-00152692,Coyote Complaints,Mobile Device,Closed,03/16/2023 09:57:36 AM,03/15/2023 12:46:29 PM,03/16/2023 09:57:36 AM,03/16/2023 09:57:36 AM,"1204 CANON YEOMANS TRL, AUSTIN, TX 78748",1204,CANON YEOMANS,AUSTIN,78748,TRAVIS,3088553.75047813,10028993.00009850,30.15489471,-97.8273623,"(30.15489471, -97.8273623)",5,703A,ME12
23-00162171,Coyote Complaints,Phone,Closed,03/29/2023 03:25:11 PM,03/21/2023 03:17:55 PM,03/29/2023 03:25:11 PM,03/29/2023 03:25:11 PM,"61 LOST MEADOW TRL, THE HILLS, TX 78738",61,LOST MEADOW,THE HILLS,78738,TRAVIS,3038563.01241802,10100074.16809140,30.35329344,-97.98073951,"(30.35329344, -97.98073951)",,519K,WW29
23-00163716,Coyote Complaints,Phone,Closed,03/27/2023 08:45:03 AM,03/22/2023 02:52:31 PM,03/27/2023 08:45:03 AM,03/27/2023 08:45:03 AM,"2714 SILVERWAY DR, AUSTIN, TX 78757",2714,SILVERWAY,AUSTIN,78757,TRAVIS,3114993.25164181,10102142.99895950,30.35430748,-97.73833311,"(30.35430748, -97.73833311)",7,525K,MJ29
23-00167720,Coyote Complaints,Phone,Closed,03/27/2023 12:01:51 PM,03/25/2023 07:55:31 AM,03/27/2023 12:01:51 PM,03/27/2023 12:01:51 PM,"2400 ROLLINGWOOD DR, ROLLINGWOOD, TX 78746",2400,ROLLINGWOOD,ROLLINGWOOD,78746,TRAVIS,3102272.25089971,10070932.00265860,30.26932194,-97.78092465,"(30.26932194, -97.78092465)",,584T,MG22
23-00167848,Coyote Complaints,Phone,Closed,03/27/2023 02:02:32 PM,03/25/2023 09:59:59 AM,03/27/2023 02:02:32 PM,03/27/2023 02:02:32 PM,"ARROYO SECO & THECKLA TER, AUSTIN, TX",,ARROYO SECO & THECKLA TER,AUSTIN,78756,TRAVIS,3116465.97147904,10093238.55963500,30.32973596,-97.73432467,"(30.32973596, -97.73432467)",7,555B,MJ27
23-00168298,Coyote Complaints,Phone,Closed,03/27/2023 01:53:33 PM,03/25/2023 03:24:58 PM,03/27/2023 01:53:33 PM,03/27/2023 01:53:33 PM,"BANISTER LN & REDD ST, AUSTIN, TX",,BANISTER LN & REDD ST,AUSTIN,78745,TRAVIS,3102237.48189907,10054246.79060240,30.22345878,-97.78224675,"(30.22345878, -97.78224675)",5,644A,MG18
23-00169079,Coyote Complaints,Phone,Closed,03/27/2023 10:24:50 AM,03/26/2023 10:19:05 AM,03/27/2023 10:24:50 AM,03/27/2023 10:24:50 AM,"1311 THORNRIDGE RD, AUSTIN, TX 78758",1311,THORNRIDGE,AUSTIN,78758,TRAVIS,3125175.99869272,10108577.99913170,30.3713391,-97.70557587,"(30.3713391, -97.70557587)",4,496W,ML31
23-00173315,Coyote Complaints,Phone,Closed,03/30/2023 12:19:49 PM,03/28/2023 09:57:05 PM,03/30/2023 12:19:49 PM,03/30/2023 12:19:49 PM,"13501 WILL ROGERS LN, AUSTIN, TX 78727",13501,WILL ROGERS,AUSTIN,78727,TRAVIS,3131874.99837651,10128445.99946070,30.42551599,-97.68283802,"(30.42551599, -97.68283802)",7,466L,MM35
23-00178601,Coyote Complaints,Mobile Device,Closed,04/04/2023 11:06:11 AM,04/01/2023 08:23:57 AM,04/04/2023 11:06:11 AM,04/04/2023 11:06:11 AM,"13005 LAMPLIGHT VILLAGE AVE, AUSTIN, TX 78727",13005,LAMPLIGHT VILLAGE,AUSTIN,78727,TRAVIS,3129008.74748806,10127516.99837350,30.42314976,-97.69199958,"(30.42314976, -97.69199958)",7,466K,ML35
23-00178618,Coyote Complaints,Phone,Closed,04/03/2023 09:36:35 AM,04/01/2023 08:42:35 AM,04/03/2023 09:36:35 AM,04/03/2023 09:36:35 AM,"11409 RUSTIC ROCK DR, AUSTIN, TX 78750",11409,RUSTIC ROCK,AUSTIN,78750,TRAVIS,3100884.93803084,10130092.86535890,30.43203548,-97.78101868,"(30.43203548, -97.78101868)",6,464B,MG36
23-00179017,Coyote Complaints,Phone,Closed,04/03/2023 02:50:51 PM,04/01/2023 01:36:19 PM,04/03/2023 02:50:51 PM,04/03/2023 02:50:51 PM,"1802 CINNAMON PATH, AUSTIN, TX 78704",1802,CINNAMON,AUSTIN,78704,TRAVIS,3103910.25079715,10061152.00220920,30.24233464,-97.77644934,"(30.24233464, -97.77644934)",5,614P,MG20
23-00179691,Animal Protection - Coyote Complaints,Phone,Closed,05/11/2023 07:53:47 AM,04/02/2023 08:13:10 AM,05/11/2023 07:53:47 AM,05/11/2023 07:53:47 AM,"8011 BECKETT RD, AUSTIN, TX 78749",8011,BECKETT,AUSTIN,78749,TRAVIS,3077747.36521159,10049687.42249560,30.21244618,-97.86008914,"(30.21244618, -97.86008914)",8,642K,MC17
23-00182075,Animal Protection - Coyote Complaints,Phone,Closed,04/10/2023 11:43:36 AM,04/03/2023 04:48:44 PM,04/10/2023 11:43:36 AM,04/10/2023 11:43:36 AM,"6301 AUGUSTA NATIONAL CV, AUSTIN, TX 78746",6301,AUGUSTA NATIONAL,AUSTIN,78746,TRAVIS,3084084.75008450,10076466.00022790,30.28566873,-97.83812961,"(30.28566873, -97.83812961)",8,582H,MD24
23-00185952,Animal Protection - Coyote Complaints,Phone,Closed,04/07/2023 11:12:14 AM,04/05/2023 07:52:42 PM,04/07/2023 11:12:14 AM,04/07/2023 11:12:14 AM,"12133 METRIC BLVD, AUSTIN, TX 78758",12133,METRIC,AUSTIN,78758,TRAVIS,3127500.79883226,10121135.46961640,30.40570633,-97.69726234,"(30.40570633, -97.69726234)",7,466X,ML34
23-00186326,Animal Protection - Coyote Complaints,Phone,Closed,04/07/2023 06:37:07 AM,04/06/2023 09:18:25 AM,04/07/2023 06:37:07 AM,04/07/2023 06:37:07 AM,"1520 RUTHERFORD LN, AUSTIN, TX 78754",1520,RUTHERFORD,AUSTIN,78754,TRAVIS,3133220.45544567,10096590.76694790,30.33786335,-97.68097996,"(30.33786335, -97.68097996)",1,526Y,MM28
23-00187926,Animal Protection - Coyote Complaints,Phone,Closed,04/10/2023 10:27:56 AM,04/07/2023 11:29:47 AM,04/10/2023 10:27:56 AM,04/10/2023 10:27:56 AM,"3107 E 51ST ST, AUSTIN, TX 78723",3107,51ST,AUSTIN,78723,TRAVIS,3133138.43266220,10081135.41308470,30.29538478,-97.6824073,"(30.29538478, -97.6824073)",1,586C,MM24
23-00187990,Animal Protection - Coyote Complaints,Phone,Closed,04/08/2023 11:47:30 AM,04/07/2023 11:57:44 AM,04/08/2023 11:47:30 AM,04/08/2023 11:47:30 AM,"525 BLACKBERRY DR, AUSTIN, TX 78745",525,BLACKBERRY,AUSTIN,78745,TRAVIS,3100268.75161748,10041083.00164200,30.18739737,-97.78943156,"(30.18739737, -97.78943156)",2,674A,MG15
23-00188936,Animal Protection - Coyote Complaints,Phone,Closed,05/11/2023 09:00:16 AM,04/08/2023 10:15:45 AM,05/11/2023 09:00:16 AM,05/11/2023 09:00:16 AM,"4904 SHADY GLADE CT, AUSTIN, TX 78756",4904,SHADY GLADE,AUSTIN,78756,TRAVIS,3114002.75158340,10090482.99906030,30.32231931,-97.7423336,"(30.32231931, -97.7423336)",7,555E,MJ27
23-00189701,Animal Protection - Coyote Complaints,Phone,Closed,04/10/2023 03:33:11 PM,04/08/2023 08:09:29 PM,04/10/2023 03:33:11 PM,04/10/2023 03:33:11 PM,"2410 LITTLE JOHN LN, AUSTIN, TX 78704",2410,LITTLE JOHN,AUSTIN,78704,TRAVIS,3112706.00200008,10058918.00121850,30.23563486,-97.74876666,"(30.23563486, -97.74876666)",3,615S,MJ19
23-00190260,Animal Protection - Coyote Complaints,Phone,Closed,04/10/2023 03:42:20 PM,04/09/2023 02:00:24 PM,04/10/2023 03:42:20 PM,04/10/2023 03:42:20 PM,"4301 SHOAL CREEK BLVD, AUSTIN, TX 78756",4301,SHOAL CREEK,AUSTIN,78756,TRAVIS,3112499.50244312,10087806.00096310,30.3150568,-97.74729401,"(30.3150568, -97.74729401)",10,555J,MJ26
23-00192848,Animal Protection - Coyote Complaints,Phone,Closed,04/11/2023 09:59:41 AM,04/11/2023 09:20:31 AM,04/11/2023 09:59:41 AM,04/11/2023 09:59:41 AM,"10707 LAKE CREEK PKWY, AUSTIN, TX 78750",10707,LAKE CREEK,AUSTIN,78750,WILLIAMSON,3092956.33498877,10138175.16677250,30.45475061,-97.80558735,"(30.45475061, -97.80558735)",6,433Q,MF38
23-00196753,Animal Protection - Coyote Complaints,Phone,Closed,04/14/2023 02:00:50 PM,04/13/2023 11:10:33 AM,04/14/2023 02:00:50 PM,04/14/2023 02:00:50 PM,"4600 MONTEREY OAKS BLVD, AUSTIN, TX 78749",4600,MONTEREY OAKS,AUSTIN,78749,TRAVIS,3084693.52924367,10056562.62067920,30.23091885,-97.83761596,"(30.23091885, -97.83761596)",8,612Z,MD19
23-00200215,Animal Protection - Coyote Complaints,Phone,Closed,04/17/2023 04:06:32 PM,04/15/2023 01:27:12 PM,04/17/2023 04:06:32 PM,04/17/2023 04:06:32 PM,"3309 E 17TH ST, AUSTIN, TX 78721",3309,17TH,AUSTIN,78721,TRAVIS,3127642.74781937,10075504.00054380,30.28026391,-97.70023815,"(30.28026391, -97.70023815)",1,586J,ML23
23-00205614,Animal Protection - Coyote Complaints,Phone,Closed,04/19/2023 10:16:46 AM,04/19/2023 08:24:33 AM,04/19/2023 10:16:46 AM,04/19/2023 10:16:46 AM,"8912 BRIARDALE DR, AUSTIN, TX 78758",8912,BRIARDALE,AUSTIN,78758,TRAVIS,3122447.99837196,10106500.99846050,30.36580663,-97.71437916,"(30.36580663, -97.71437916)",4,525D,MK30
23-00206181,Animal Protection - Coyote Complaints,Phone,Closed,04/21/2023 11:48:28 AM,04/19/2023 12:05:47 PM,04/21/2023 11:48:27 AM,04/21/2023 11:48:28 AM,"4701 STAGGERBRUSH RD 22, AUSTIN, TX 78749",4701,STAGGERBRUSH,AUSTIN,78749,TRAVIS,3084968.79041551,10057405.85493720,30.23321983,-97.83668466,"(30.23321983, -97.83668466)",8,612V,MD19
23-00210386,Animal Protection - Coyote Complaints,Phone,Closed,04/24/2023 02:14:37 PM,04/21/2023 02:54:11 PM,04/24/2023 02:14:37 PM,04/24/2023 02:14:37 PM,"ARROYO SECO & THECKLA TER, AUSTIN, TX",,ARROYO SECO & THECKLA TER,AUSTIN,78756,TRAVIS,3116465.97147904,10093238.55963500,30.32973596,-97.73432467,"(30.32973596, -97.73432467)",7,555B,MJ27
23-00211249,Animal Protection - Coyote Complaints,Phone,Closed,05/11/2023 12:04:46 PM,04/22/2023 08:17:33 AM,05/11/2023 12:04:46 PM,05/11/2023 12:04:46 PM,"11282 TAYLOR DRAPER LN, AUSTIN, TX 78759",11282,TAYLOR DRAPER,AUSTIN,78759,TRAVIS,3109536.75179420,10122724.99821150,30.41123346,-97.75411541,"(30.41123346, -97.75411541)",10,464V,MH34
23-00212618,Animal Protection - Coyote Complaints,Phone,Closed,04/24/2023 02:59:56 PM,04/23/2023 11:44:22 AM,04/24/2023 02:59:56 PM,04/24/2023 02:59:56 PM,"5608 WOODROW AVE, AUSTIN, TX 78756",5608,WOODROW,AUSTIN,78756,TRAVIS,3116724.75069530,10092884.99900820,30.32874745,-97.73353083,"(30.32874745, -97.73353083)",7,555B,MJ27
23-00214757,Animal Protection - Coyote Complaints,Phone,Closed,04/27/2023 01:32:18 PM,04/24/2023 06:21:45 PM,04/27/2023 01:32:18 PM,04/27/2023 01:32:18 PM,"1507 HOUSTON ST, AUSTIN, TX 78756",1507,HOUSTON,AUSTIN,78756,TRAVIS,3115787.50197181,10092256.99773020,30.32708135,-97.73654724,"(30.32708135, -97.73654724)",7,555B,MJ27
23-00215132,Animal Protection - Coyote Complaints,Phone,Closed,04/27/2023 02:50:52 PM,04/25/2023 07:02:51 AM,04/27/2023 02:50:52 PM,04/27/2023 02:50:52 PM,"WINWICK WAY & NORTH SHIELDS DR, AUSTIN, TX",,WINWICK WAY & NORTH SHIELDS DR,AUSTIN,78727,TRAVIS,3127508.99872155,10128395.99991260,30.4256638,-97.69669049,"(30.4256638, -97.69669049)",7,466K,ML35
23-00216196,Animal Protection - Coyote Complaints,Phone,Closed,07/27/2023 08:45:05 AM,04/25/2023 02:59:59 PM,07/27/2023 08:45:05 AM,07/27/2023 08:45:05 AM,"2407 NORTH SHIELDS DR, AUSTIN, TX 78727",2407,NORTH SHIELDS,AUSTIN,78727,TRAVIS,3127247.24775811,10128422.99840530,30.42575507,-97.69751872,"(30.42575507, -97.69751872)",7,466K,ML35
23-00218432,Animal Protection - Coyote Complaints,Phone,Closed,04/27/2023 12:22:47 PM,04/26/2023 08:24:54 PM,04/27/2023 12:22:47 PM,04/27/2023 12:22:47 PM,"14404 OCEANNA CT, AUSTIN, TX 78728",14404,OCEANNA,AUSTIN,78728,TRAVIS,3132679.99774116,10133705.99729300,30.43992206,-97.67988656,"(30.43992206, -97.67988656)",,436Y,MM37
23-00220170,Animal Protection - Coyote Complaints,Phone,Closed,07/03/2023 12:46:59 PM,04/27/2023 06:24:54 PM,07/03/2023 12:46:59 PM,07/03/2023 12:46:59 PM,"6302 AUGUSTA NATIONAL CV, AUSTIN, TX 78746",6302,AUGUSTA NATIONAL,AUSTIN,78746,TRAVIS,3083721.25020803,10076664.00254550,30.28623543,-97.83926692,"(30.28623543, -97.83926692)",8,582H,MD24
23-00223238,Animal Protection - Coyote Complaints,Phone,Closed,05/01/2023 02:14:51 PM,04/29/2023 08:48:08 PM,05/01/2023 02:14:51 PM,05/01/2023 02:14:51 PM,"4318 BALCONES WOODS DR, AUSTIN, TX 78759",4318,BALCONES WOODS,AUSTIN,78759,TRAVIS,3114902.18534135,10120669.48977520,30.40524001,-97.73725109,"(30.40524001, -97.73725109)",7,465X,MJ34
23-00223242,Animal Protection - Coyote Complaints,Phone,Closed,05/01/2023 02:23:54 PM,04/29/2023 08:53:06 PM,05/01/2023 02:23:54 PM,05/01/2023 02:23:54 PM,"2703 DEL CURTO RD, AUSTIN, TX 78704",2703,DEL CURTO,AUSTIN,78704,TRAVIS,3103713.51259825,10061417.70063190,30.24307744,-97.77705288,"(30.24307744, -97.77705288)",5,614P,MG20
23-00226151,Animal Protection - Coyote Complaints,Phone,Closed,05/02/2023 10:14:00 AM,05/01/2023 07:14:00 PM,05/02/2023 10:14:00 AM,05/02/2023 10:14:00 AM,"1131 SALINA ST, AUSTIN, TX 78702",1131,SALINA,AUSTIN,78702,TRAVIS,3121432.24800000,10070979.59000000,30.26822971,-97.72024464,"(30.26822971, -97.72024464)",1,585U,MK22
23-00227662,Animal Protection - Coyote Complaints,Phone,Closed,05/03/2023 12:33:00 PM,05/02/2023 02:39:00 PM,05/03/2023 12:33:00 PM,05/03/2023 12:33:00 PM,"12609 DESSAU RD 454, AUSTIN, TX 78754",12609,DESSAU,AUSTIN,78754,TRAVIS,3144373.75300000,10117460.77000000,30.39449484,-97.64403563,"(30.39449484, -97.64403563)",,497G,MP33
23-00228439,Animal Protection - Coyote Complaints,Phone,Closed,05/03/2023 02:27:00 PM,05/02/2023 09:52:00 PM,05/03/2023 02:27:00 PM,05/03/2023 02:27:00 PM,"5603 JOE SAYERS AVE, AUSTIN, TX 78756",5603,JOE SAYERS,AUSTIN,78756,TRAVIS,3116414.93700000,10092772.69000000,30.32845862,-97.73452088,"(30.32845862, -97.73452088)",7,555B,MJ27
23-00228680,Animal Protection - Coyote Complaints,Phone,Closed,05/10/2023 08:37:11 AM,05/03/2023 07:37:52 AM,05/10/2023 08:37:11 AM,05/10/2023 08:37:11 AM,"7701 SADDLE UP DR, AUSTIN, TX 78724",7701,SADDLE UP,AUSTIN,78724,TRAVIS,3149494.45900806,10084950.19314430,30.30478871,-97.63030387,"(30.30478871, -97.63030387)",1,557V,MP25
23-00230284,Animal Protection - Coyote Complaints,Phone,Closed,05/10/2023 08:46:13 AM,05/03/2023 07:03:09 PM,05/10/2023 08:46:14 AM,05/10/2023 08:46:13 AM,"SALT SPRINGS DR & E WILLIAM CANNON DR, AUSTIN, TX",,SALT SPRINGS DR & E WILLIAM CANNON DR,AUSTIN,78744,TRAVIS,3116550.99990264,10034770.00004920,30.16900998,-97.73837801,"(30.16900998, -97.73837801)",2,675P,MJ14
23-00231875,Animal Protection - Coyote Complaints,Phone,Closed,05/16/2023 02:41:13 PM,05/04/2023 04:05:48 PM,05/16/2023 02:41:13 PM,05/16/2023 02:41:13 PM,"2806 LYONS RD 1, AUSTIN, TX 78702",2806,LYONS,AUSTIN,78702,TRAVIS,3125643.24755377,10069479.00156490,30.26383221,-97.70702152,"(30.26383221, -97.70702152)",3,586W,ML22
23-00241850,Animal Protection - Coyote Complaints,Phone,Closed,05/15/2023 11:10:00 AM,05/10/2023 08:15:00 PM,05/15/2023 11:10:00 AM,05/15/2023 11:10:00 AM,"6202 SHOAL CREEK BLVD, AUSTIN, TX 78757",6202,SHOAL CREEK,AUSTIN,78757,TRAVIS,3112367.50300000,10097218.00000000,30.34093748,-97.74701879,"(30.34093748, -97.74701879)",7,525S,MJ28
23-00247600,Animal Protection - Coyote Complaints,Phone,Closed,05/15/2023 02:32:00 PM,05/15/2023 08:27:00 AM,05/15/2023 02:32:00 PM,05/15/2023 02:32:00 PM,"7749 ESCALA DR, AUSTIN, TX 78735",7749,ESCALA,AUSTIN,78735,TRAVIS,3075568.85200000,10069676.89000000,30.26752838,-97.86558052,"(30.26752838, -97.86558052)",,582W,MC22
23-00250025,Animal Protection - Coyote Complaints,Phone,Closed,05/18/2023 08:36:11 AM,05/16/2023 12:08:59 PM,05/18/2023 08:36:11 AM,05/18/2023 08:36:11 AM,"6604 DAUGHERTY ST, AUSTIN, TX 78757",6604,DAUGHERTY,AUSTIN,78757,TRAVIS,3114531.75170266,10098106.99813070,30.34324268,-97.74009417,"(30.34324268, -97.74009417)",7,525S,MJ28
23-00250457,Animal Protection - Coyote Complaints,Phone,Closed,05/17/2023 11:35:38 AM,05/16/2023 02:49:25 PM,05/17/2023 11:35:38 AM,05/17/2023 11:35:38 AM,"13233 ZEN GARDENS WAY, AUSTIN, TX 78732",13233,ZEN GARDENS,AUSTIN,78732,TRAVIS,3057567.14195296,10097659.48938200,30.34553644,-97.92066784,"(30.34553644, -97.92066784)",,520R,WZ29
23-00251036,Animal Protection - Coyote Complaints,Phone,Closed,05/17/2023 11:08:19 AM,05/16/2023 08:34:35 PM,05/17/2023 11:08:19 AM,05/17/2023 11:08:19 AM,"6605 AUBURNHILL, AUSTIN, TX 78723",6605,AUBURNHILL,AUSTIN,78723,TRAVIS,3135056.24831620,10087799.00134200,30.31357594,-97.67582796,"(30.31357594, -97.67582796)",1,556R,MM26
23-00251946,Animal Protection - Coyote Complaints,Phone,Closed,05/22/2023 03:15:09 PM,05/17/2023 12:42:09 PM,05/22/2023 03:15:09 PM,05/22/2023 03:15:09 PM,"7707 N IH 35 SVRD NB, AUSTIN, TX 78752",7707,IH 35 SVRD,AUSTIN,78752,TRAVIS,3127357.96899703,10096780.48991870,30.33876783,-97.69954433,"(30.33876783, -97.69954433)",4,526S,ML28
23-00252118,Animal Protection - Coyote Complaints,Mobile Device,Closed,05/19/2023 07:49:52 AM,05/17/2023 01:47:13 PM,05/19/2023 07:49:52 AM,05/19/2023 07:49:52 AM,"12126 SCRIBE DR, AUSTIN, TX 78759",12126,SCRIBE,AUSTIN,78759,TRAVIS,3122239.83211075,10124404.38927310,30.41503376,-97.7137023,"(30.41503376, -97.7137023)",7,465R,MK35
23-00252283,Animal Protection - Coyote Complaints,Mobile Device,Closed,05/19/2023 11:06:23 AM,05/17/2023 02:58:29 PM,05/19/2023 11:06:23 AM,05/19/2023 11:06:23 AM,"12126 SCRIBE DR, AUSTIN, TX 78759",12126,SCRIBE,AUSTIN,78759,TRAVIS,3122239.83211075,10124404.38927310,30.41503376,-97.7137023,"(30.41503376, -97.7137023)",7,465R,MK35
23-00253993,Animal Protection - Coyote Complaints,Phone,Closed,05/19/2023 11:45:36 AM,05/18/2023 02:31:22 PM,05/19/2023 11:45:36 AM,05/19/2023 11:45:36 AM,"4406 SILVERSTONE DR, AUSTIN, TX 78744",4406,SILVERSTONE,AUSTIN,78744,TRAVIS,3109040.00146278,10037083.00001470,30.17584754,-97.76197042,"(30.17584754, -97.76197042)",2,674L,MH14
23-00255858,Animal Protection - Coyote Complaints,Phone,Closed,05/22/2023 08:21:04 AM,05/19/2023 03:02:45 PM,05/22/2023 08:21:04 AM,05/22/2023 08:21:04 AM,"7707 N IH 35 SVRD NB, AUSTIN, TX 78752",7707,IH 35 SVRD,AUSTIN,78752,TRAVIS,3127357.96899703,10096780.48991870,30.33876783,-97.69954433,"(30.33876783, -97.69954433)",4,526S,ML28
23-00256315,Animal Protection - Coyote Complaints,Phone,Closed,05/24/2023 11:26:36 AM,05/19/2023 08:02:08 PM,05/24/2023 11:26:36 AM,05/24/2023 11:26:36 AM,"1201 LADY BIRD LN, AUSTIN, TX 78741",1201,LADY BIRD,AUSTIN,78741,TRAVIS,3120840.00720270,10061637.38889200,30.24258782,-97.72281455,"(30.24258782, -97.72281455)",3,615Q,MK20
23-00256414,Animal Protection - Coyote Complaints,Phone,Closed,05/24/2023 11:35:28 AM,05/19/2023 09:44:55 PM,05/24/2023 11:35:28 AM,05/24/2023 11:35:28 AM,"8003 S IH 35 NB, AUSTIN, TX 78744",8003,IH 35,AUSTIN,78744,TRAVIS,3103394.02585275,10037064.59476180,30.17615451,-97.77983454,"(30.17615451, -97.77983454)",2,674K,MG14
