learn,fun,expectations
I want to learn how to use Python and R to look at data. I also want to develop a better understanding of how to use classifiers and when to use them.,  I love to hang out with friends and watch movies!,I mainly expect the instructor to be able to not just explain theory but also show how to implement things in code.
Just want to become more familiar with data science concepts and methods.,Swim,Hopefully the class is engaging and less lecture-based  
Proficiency in data visualization and projects that can be marketed to employers,"I enjoy reading books and playing sports. I especially love watching football, specifically the Cowboys.  ",To communicate and teach clearly and be understanding of students €™ needs.  
Be able to seamlessly create analyses from medical databases,"I no like to draw, read, and cuddle up with my dogs","The way things have been going has been on par with what I would expect from this class. The instructor has exemplified great  flexibility, patience, and understanding with students thus far. It €™s hard learning another language, especially in a foreign format, so I truly appreciate the instructor €™s consideration."
Be more professionally competent for a career in Data Science!,Indoor Bouldering!,"I want to be able to access academic help easily, and work on lots of relevant and applicable projects for a resume!"
"I would like to acquire more skills in this class! I'm not very confident in my math skills, or computer coding skills, but I would like to get better.  ","I enjoy working out, such as lifting heavy weights. I was interested in trying out for the Longhorn Powerlifting team this semester! I also enjoy being creative and often draw on my iPad.  ",I expect the instructor to be helpful when I am confused or have questions. I also hope that the instructions are clear.  
"Review RStudio and Python, improve data analytics skills",Weightlifting and dancing,To be able to explain the content of the material clearly
"I want to become proficient in R and learn how to apply Python to data science. I'd like to become familiar with numpy, Pandas, etc. Basically just trying to learn skills applicable to a career in tech. I also want to see if I like the subject enough to consider pursuing post-grad studies in computational biology or biostatistics.",I like to play Dungeons & Dragons because the improv is great for my inner theater kid and the simulated combat is great for my anger issues.,"Clear expectations for assignments, easy to communicate with (relatively prompt email responses, encourages and answers questions, available to meet outside office hours if needed).  "
Very interested and excited to work with two languages  ,Take my dog to the park,To be friendly and available to help when needed
Sharpen my data transformation skills,Surf Spotify for music,A thorough and fun course
how to better use r studio,I love to watch scary movies,"I expect the professor to be on time and have a well-organized canvas page. It makes it easier on the students when the lectures, assignments, exams, etc are all under the correct category."
I would love to gain further programming knowledge.,"I love to cook and bake, practice yoga, and spend time with my friends.","My expectations are that I will be challenged at a healthy level and that the material will be taught in a way that is easily understood,"
I want to feel comfortable using R studio and knowing how the program works.  ,"I like to watch sports! I don't watch much TV but I love watching most sports, especially NFL and college basketball.  ",To be approachable and able to answer questions/explain if I am ever confused. I also expect all assignments to be very clear and easy to find on canvas.  
how to scrape data,I like to play video games,able to teach concepts well and clear up any confusions if I have them
I would like to learn the basics of coding in python!,I love to thrift clothes and sew.  ,I am hoping the instructor is able to clearly explain how to do things in r studio. Statistics is not my strong suit so clear instructions and guidance are helpful.  
I would love to learn how to program with R to build my skillset.,I like to go shopping and hang out with friends.,I hope to be a part of an interactive learning environment with an ample amount of coding examples.
"I have never had any coding experience whatsoever, so learning the skill of coding through any program is my goal!",I love to watch new movies in the movies theaters for fun! :),One expectation that I hope for the instructor is teaching as if us students are learning how to for the first time since this course has no prerequisites and for some of us are new to this.
I would like to learn the programming language R and be able to apply the skills that I learn from this class to the professional world and for the jobs that I do.,I like to play soccer  ,I would like the instructor to help show applications of the content we learn in the real world.
I want to learn the tools used to gain those technical skills.  ,"I like looking at memes, going out with friends, and playing online games.","I expect my instructor to give me feedback on my work, be understandable, be enthusiastic, and be a mentor."
R studio  ,watch netflix and hang out with my dog  ,i want to learn R studio in depth and so as python  
The ability to analyze data from biological sources,"camping, fishing, biking",Being open and encouraging participation
I want to learn how to build real-world data science models that can be used to tackle a societal or business problem.,I love to play basketball.,"To be available, helpful, and considerate throughout the semester and empower us to reach our fullest potential in this class."
I would like to understand the different elements of data science and what's currently used in the job industry  ,I like to explore Austin and go to the gym.  ,I expect the instructor to be well-versed in data science and accommodating to our schedules.  
"Proficiency in R, how to complete a data science project when I want to  ",Cook new foods,"Be somewhat passionate about the material, be generally clear with assignment expectations"
"I'd love to gain more working knowledge in R, specifically as it relates to data wrangling/cleaning. I've taken a data mining class that touched on this a bit, but it was primarily based in WEKA - I've yet to use that platform elsewhere. Doing real world projects is often much more difficult than those done in class simply because the data needed isn't in a standardized format. Learning this process from scratch would be very beneficial. I've also already taken a few classes on the applied stats side of things, so very eager to learn how to better translate the math and theory behind predictive modeling into code and high-quality visualizations. The more transferrable skills I'm able to leave this class with, the better!","Cycling! I ride pretty consistently and am currently training for Ironman Florida happening Nov. 5th. I'm a huge endurance sports fan and more than happy to chat up the ear of anyone willing to listen. I've also always loved geeking out over my performance data (i.e. watts, heart rate, cadence, etc.). Hoping to take a thing or two from this class and apply it to my training program later!",Just clear communication regarding upcoming deadlines and consistent availability during office hours
Be able to use data science techniques in real world applications,I like trying new food!,"Just to make sure our organizations and deadlines are clearly communicated, so I know how to look forward to in the coming weeks."
More information regarding biostats and data science,playing basketball and volleyball,to be a fair grader and informative of assignments and content
I am very curious about Python and I am excited to learn more about Rstudio!,"I like to crochet, garden, and hang out with my cat.",I expect to learn new and exciting things that could help me in my future.
I would like to gain experience with R and the skills needed to manage and interpret data with the coding language.,I like watching sports (mainly football) and playing video games.,
I'd like to be even more familiar with R and practice learning new packages and statistical methods. I also want to delve into machine learning.,"I just started carving wood, and I read A LOT.","Just a safe environment to take risks and learn new things, and an understanding that not all students are able to devote their whole lives to class."
"I'd like to feel more comfortable with data. It feels like a lot of work to understand data/statistics in bio papers I read, and it's kind of scary sometimes.","I play the violin. I like to read, bake, play video games.",
I want to learn how to use programs to visualize/analyze data.,I'm learning how to crochet!,"To be knowledgeable, accessible, and helpful."
Learn how to properly display information and practice python,Play soccer and snowboard  ,To provide us with the necessary information to successfully work on our projects
Proficient coding and problem solving skills,I like to play video games,Helpful guidance to use and develop coding through R and Python
"I want to learn how to manage data and be able to communicate this data to others through the use of visuals, communication, etc.  ",I enjoy watching anime.  ,I expect to leave this course being able to properly communicate and display data. I expect the professor to guide us through the content of this class.  
I want to become more familiar with useful coding languages like Rstudio.,I enjoy watching NBA games.,"I just expected to be given clear instructions on all coursework, so that I can be graded fairly."
R and python?,"swimming, working out at the gym

traveling",I hope the homework would be just the right amount and the exam would not be too difficult.
Tools -- learning more aspects of R,I like to sing :),
basic coding information  ,make tiktoks,straightforward teaching
I'm hoping to gain a understanding of the basics of data science so I can hopefully gain more knowledge about my major and my field of interest.,"I like to read, cook, watch studio ghibli movies, and go on long bike rides for fun.",I'm hoping that the instructor will be available to the students through office hours and email. I also hope they make the class interesting and applicable to many fields.
I want to have a good foundation in the data science field and want to utilize skills in the robotics projects that I am working on.,I like to cook Korean food. :),I am expecting the instructor to deliver the data science concept and assignments very clearly and get some help when I am very stuck and cannot make a progress.
statistic skills for future bio research,music,fun and kind
data analytics type stuff,dj/listen to music,learn R from the bottom and learn about data science
Python for data science!,Makeup,Making data science interesting!
Some basic coding skills and how to read/analyze statistics,I like to play volleyball in my free time,"To be kind, understanding, and helpful to students"
"I'm really excited to learn about R and get hands-on experience dealing with data. Most of my classes have been very theoretical so far, so I'm looking forward to learn useful skills and apply them!","I like to spend my time gardening, thrifting, hanging out with my roommates, and playing with my cat. :)",Clear instructions for assignments and concise lessons
"Data analysis skills, as well as how to use R efficiently",I like to play video games with friends.,To be able to explain the content effectively and hopefully make the class a little fun.(I've had too many classes that are almost strictly book reading and memorization)
General knowledge on data science  ,"* Play Video Games

* Play Soccer  

* Workout",
"I want to become better at using statistical softwares, but also learn how to think analytically when looking at real world data sets. Want to be a competitive applicant for data science related jobs.","Enjoy playing volleyball, working out, playing the piano, and hanging out with friends.",Clear course content and explanation of concepts. Ease of availability and accessibility for help and questions.
Python,Biking and sewing!,Aid on difficult concepts    
How to code python and R for data analysis.,Watch shows and movies.,Convey the material in an understandable manner and not make the class extremely hard.
Python and R related to bulk data analysis,Bowling,Projects to engage in to do more experiential learning
Machine learning and clustering algorithms.,I like going to surplus storage areas and free tables around campus to look through old university equipment.,I expect the instructor to reward hard work and to relate what we learn back to real-world circumstances.
"The main thing I want to learn from this class is how R programming works on a deeper level in relation to data science. In my Stats class, we were introduced to the general R programming language, but we did not go into data tidying, wrangling, normalization, or machine learning that much (we just learned functions). In other words, I want a deeper look at data science concepts through this course.  ","Something I like to do for fun is going out to watch movies with my friends or family and going on runs with my mates. Watching movies is something I love to do because the discussions we have after the movie are the best! For instance, my friends and I went to go watch Spider-Man: No Way Home and had a two-hour discussion about the movie after we watched it! Running with my friends is another thing I like to do as it keeps me active and I have a good time just catching up/talking with my friends as we go on these runs.",My expectations from the instructor this semester are to try to keep the class engaged during lectures and to challenge us with interesting problems in relation to data science that we could potentially see in the industry. Thanks for asking!
"I want to learn what it means to manage data. I still have a broad idea of what it is. I hope to be able to connect ways how to manage data, analyze data, and possibly how it can help find solutions to health problems (or in general current world problems).  ",I like to roller skate.,I expect to be able to not only learn from the professor but also from my peers. It seems like a lot of the work is in teams. I'm looking forward to working together to learn the various concepts.
Coding in Python,"Sports, guitar",
advance my R skills and do a little Python,I really enjoy watching movies and singing,organization and fairness
Any deeper skills on statistical analysis and R programming than SDS 320E,"Watching movies, just lie on the bed and relax, watching turtles in UT turtle pond",Clear explanations on course materials
I want to learn and develop the fundamentals of Data Science so I can be prepared for the industry.,I like to play sports for fun. Specifically volleyball or football.,"To educate me in content that is relevant, informative, and interesting."
"There is so much I want to learn from this class. However, what I most want to learn is the skills required to be a true Data Scientist.",I play basketball at any chance I am free and I enjoy socializing with friends.,"I have heard freat things about professor Guyot, but the only expectation I have is to have an enjoyable time learning the world of data science."
I most want to learn how to efficiently use R/R Studio to manipulate and analyze data.  ,Produce music.,I expect the instructor to be accommodating and helpful.  
Being able to analyze data collected and draw a conclusion,"Reading, singing, video games",Being clear on instructions
Basics of R programming,"Tennis, watch movies, eat with friends",To be accessible if I have questions!
"I would like to learn more data science tools and learn about data analysis. I believe this will be useful to know for my major, and I am also pursuing a certificate in scientific computation and data sciences so this will be good to know.","I like to watch Netflix and Marvel. If I had downtime, I would just lay in bed, and watch a movie or TV. I am also known to be called an adrenaline junkie so anything thrilling is fun. For instance, I would love to sky dive some day. I also like playing volleyball and basketball.",To provide as many resources as possible to succeed in the course and to be patient with any questions that I may have. I am also unfamiliar with R programming language so helpful resources and thorough explanation would help as well. Thank you!
Getting more familiar with data science principles and learning more about applying Python to data science.,Watch NFL games,"I hope that examples of the code are shown in the lectures to supplement the material, and I hope that Python can be emphasized a little more as it is more pertinent in the data science field."
How to use R/python to slove problems or complete tasks,Watching TV series/movies/aminations and drawing,"not too hard projects and HWs, please"
